  羞羞的铁拳.Never.Say.Die.2017.4k&1080p.WEB-DL.x264.AAC-HQC.8.68GB,magnet:?xt=urn:btih:606bbd118768684d646032c0569642e620e0b9f2  ,,
  Ingen.Ska.Skada.Dig.Inte.Ens.Jag.2017.SWEDiSH.1080p.BluRay.x264-FiLMANTA.847.67MB,magnet:?xt=urn:btih:5c14759eb977fbf88060c7e489b65d25c260e1f9  ,,
  心跳.Heartbeats.2017.720p.BluRay.H264.AAC-RARBG.1.3GB,magnet:?xt=urn:btih:5ec9a6944ae66c6652e4fa642ceb2e6fab9b77f7  ,,
  奇迹男孩.Wonder.2017.Full.NEW.SOURCES.HD.TS.x264.XViD-26k.989.81MB,magnet:?xt=urn:btih:5b5fda8b10e1d6563489c5678acb580df9d86863  ,,
  妖精的尾巴剧场版：龙泣.Fairy.Tail.Dragon.Cry.2017.720p.BRRip.x264.802.14MB,magnet:?xt=urn:btih:c341d1264b06338fb5e2edbb8714fa4e5c258f20  ,,
  伍德肖克的偏执.Woodshock.2017.720p.BluRay.H264.AAC-RARBG.1.22GB,magnet:?xt=urn:btih:986f8bc15e81c6e542ddb0ce335f293d2c935632  ,,
  一呼一吸.Breathe.2017.720p.BluRay.x264-DRONES.5.47GB,magnet:?xt=urn:btih:a0e4bd220bb52dfb651a7a7661a8d88c2007e53d  ,,
  性别之战.Battle.of.the.Sexes.2017.720p.WEB-DL.DD5.1.H264-FGT.3.81GB,magnet:?xt=urn:btih:26016de751b829a752e74721b1e31724b9f199b1  ,,
  雪人.The.Snowman.2017.PROPER.720p.BluRay.H264.AAC-RARBG.1.45GB,magnet:?xt=urn:btih:1f908d888d9df5b186725e086018e9a49aad2090  ,,
  天作凶杀案.Ittefaq.2017.Hindi.1080p.WEB-DL.x264.ESub.1.57GB,magnet:?xt=urn:btih:08707bbea63bb34ec50f5058a954a13102bb5583  ,,
  麦田里的反叛者.Rebel.In.the.Rye.2017.720p.WEB-DL.XviD.AC3-FGT.3.16GB,magnet:?xt=urn:btih:2377d829def811e591d9bcc21b902bdf2ad0cfc6  ,,
  入黑之时.By.the.Time.It.Gets.Dark.2016.SUBBED.DVDRip.x264-BiPOLAR.708.9MB,magnet:?xt=urn:btih:0f9c6a1311ccf2c9449399f723d9720c5ed7c942  ,,
  信仰问题.A.Question.of.Faith.2017.720p.BRRip.XviD.AC3-RARBG.3.23GB,magnet:?xt=urn:btih:144918f8146096a582d25e68328ba8c27e965e03  ,,
  银翼杀手2049.Blade.Runner.2049.2017.720p.BluRay.H264.AAC-RARBG.1.98GB,magnet:?xt=urn:btih:829ab78bc3755ce719259304775dd3016abbad9d  ,,
  Just.Getting.Started.2017.Movies.HD.TS.x264.Clean.Audio.AAC.with.Sample._rDX_.705.5MB,magnet:?xt=urn:btih:084beb8c7d95f6760b040a10955aa6005bcdbf73  ,,
  特洛伊奥德赛.Troy.The.Odyssey.2017.HDRip.XviD.AC3-EVO.1.31GB,magnet:?xt=urn:btih:9251a28e40fa1767aad8156280995ea4343779ce  ,,
  Blood.Circus.2017.720p.WEB-DL.XviD.AC3-FGT.2.32GB,magnet:?xt=urn:btih:cd52f2f9e28e526b028dd26f0f9d8dcdac8ef913  ,,
  黑暗之域.Darkland.2017.720p.AMZN.WEB-DL.DD5.1.H.264-NTG EtHD .1.96GB,magnet:?xt=urn:btih:88640f590612e17ddee3b6c5bc1306342cbefc3e  ,,
  圣诞奇妙公司.Santa.and.Cie.2017.FRENCH.TS.x264-SKRiN.mkv.1.2GB,magnet:?xt=urn:btih:cd5acad35b9dcf0572d66455449ece154c61c6b3  ,,
  藏色之物.Il.Colore.Nascosto.Delle.Cose.2017.iTALiAN.DTS.1080p.BluRay.x264-BLUWORLD.mkv.11.19GB,magnet:?xt=urn:btih:7233b2d93957e54d37a81c8acf2dfc2150d6dbfc  ,,
  权力的游戏：征服与反抗.Game.of.Thrones.Conquest.and.Rebellion.2017.720p.BluRay.x264-FLAME EtHD .2.22GB,magnet:?xt=urn:btih:006ffea684a172896a257b01e22cada09c3d1893  ,,
  你我他.You.Me.and.Him.2018.720p.WEBRip.XviD.AC3-FGT.3.04GB,magnet:?xt=urn:btih:5ae436bc5ca1d7b32c810d87d4ed244485feabf4  ,,
  圣诞遗产.Christmas.Inheritance.2017.HDRip.XviD.AC3-EVO SN .1.4GB,magnet:?xt=urn:btih:cbbe3a78b387838a1d7b1eb93d33eb54a398935a  ,,
  The.Cutlass.2017.HDRip.XviD.AC3-EVO.1.4GB,magnet:?xt=urn:btih:fd357e59cf67419fcdb47ccd2d59fe116df3039a  ,,
  狐狸.The.Fox.2017.720p.WEB-DL.XviD.AC3-FGT.2.67GB,magnet:?xt=urn:btih:9c97300a80d0c0d08559c55de6fa436db929eac1  ,,
  被窃之物.The.Stolen.2017.HDRip.XviD.AC3-EVO.1.4GB,magnet:?xt=urn:btih:633321a837868f71f1bf3eda9abdddfa51185bfb  ,,
  绅士特工.A.Gentleman.(2017).Hindi.720p.BDRip.x264.AC3.5.1.1.4GB.ESubs.mkv.1.4GB,magnet:?xt=urn:btih:1f750fd38d2b1feccf8556a2d808a7d6b577c34c  ,,
  一定要抓住.The.Chase.2017.1080P.NonDRM_ FHD .mp4.4.2GB,magnet:?xt=urn:btih:c7ea842ea366c5e8e36c5c8d0b7d4a6d0c0218dd  ,,
  远山恋人.The.Mountain.Between.Us.2017.720p.BluRay.H264.AAC-RARBG.1.37GB,magnet:?xt=urn:btih:34ea95943e4f0f952aba6fe07fb8e21db346d778  ,,
  近郊奸情.INFIDELITY.IN.SUBURBIA.(2017).(ENG).WEB-DL.HD.RIP.480P.1.16GB,magnet:?xt=urn:btih:c79d76162db6896b019655e8e3db8a9f55311853  ,,
  李秀雅.LEE.Su-a.2017.1080P.NonDRM_ FHD .mp4.4.02GB,magnet:?xt=urn:btih:3a4c5ac7d794ad4813770ea365902d22b181e10c  ,,
  左撇子布朗之歌.The.Ballad.of.Lefty.Brown.2017.720p.WEB-DL.XviD.AC3-FGT.3.22GB,magnet:?xt=urn:btih:604d372d7ef11b637934da9845a2a40888418456  ,,
  发明接吻的女孩.The.Girl.Who.Invented.Kissing.2017.HDRip.XviD.AC3-EVO EtMovies .1.4GB,magnet:?xt=urn:btih:cacdd4e4a810805640c77227990c5cdcb4eabb29  ,,
  我爱你，老爸.I.Love.You.Daddy.2017.DVDScr.XVID.AC3.HQ.Hive-CM8 oscars .1.52GB,magnet:?xt=urn:btih:bf6697b34e4bed16d22503867193d7d2c2b0e4c8  ,,
  圣诞节前12天.Once.Upon.a.Time.at.Christmas.2017.720p.WEB-DL.XviD.AC3-FGT.2.76GB,magnet:?xt=urn:btih:f2b060a997295876632e0028646ca9958dcad0f6  ,,
  天际浩劫2.Beyond.Skyline.2017.720p.BluRay.H264.AAC-RARBG.1.29GB,magnet:?xt=urn:btih:68c3d2d9f695c62ac94118a22dcdf8f186b9bd65  ,,
  虐杀器官.Genocidal.Organ.2017.720p.BluRay.x264-WiKi.4.37GB,magnet:?xt=urn:btih:e5450a6d8e4b599865b6808d84990a7594915c5f  ,,
  圣鹿之死.The.Killing.Of.A.Sacred.Deer.2017.720p.BluRay.H264.AAC-RARBG.1.48GB,magnet:?xt=urn:btih:9f111a7b17a99471a0adcbb0276973beaa4c03d9  ,,
  9.11.2017.HDRip.XviD.AC3-EVO.1.37GB,magnet:?xt=urn:btih:012ff987fdf9123ee0c91df220bbdda581ac49d2  ,,
  灵异妙探大电影.Psych.The.Movie.2017.iNTERNAL.720p.WEB.x264-BAMBOOZLE.1.61GB,magnet:?xt=urn:btih:6959be981e4c98d4dad727367417f62d638d0e1a  ,,
  陆地空谷.Hollow.in.the.Land.2017.720p.WEB-DL.XviD.AC3-FGT.3GB,magnet:?xt=urn:btih:a3a2c343b969710f929df0dbce301de865cc129a  ,,
  西尔玛.Thelma.2017.NORWEGIAN.1080p.BluRay.x264-WASTE.8.74GB,magnet:?xt=urn:btih:961a62ea8b1927f7e40f73aa880bd61967dba733  ,,
  Inheritance.2017.720p.WEB-DL.XviD.AC3-FGT.2.07GB,magnet:?xt=urn:btih:d60bece78506cc0e1f5c02b31e7da4e02cea4447  ,,
  埃尔·卡米诺的圣诞节.El.Camino.Christmas.2017.720p.WEBRip.XviD.AC3-FGT.2.6GB,magnet:?xt=urn:btih:78ae9422255ed09ccbcb0b9680dc615a1780b1a4  ,,
  单身汉.The.Bachelors.2017.1080p.WEB-DL.DD5.1.H264-HDMania.3.46GB,magnet:?xt=urn:btih:06f13493987fa6e284558ec6b21d106d09314679  ,,
  A.Witches.Ball.2017.720p.WEB-DL.XviD.AC3-FGT.2.65GB,magnet:?xt=urn:btih:c430eef7ba7cf8b3995d70df5fdb963cafdd88b9  ,,
  释放.Bullet.Head.2017.720p.WEB-DL.XviD.AC3-FGT.2.59GB,magnet:?xt=urn:btih:19465238345cd6d951cb6597dcc858bbbbc9a46b  ,,
  警察父子亲情营2.Father.And.Guns.2.2017.720p.BluRay.x264-RedBlade.5.46GB,magnet:?xt=urn:btih:db2f89e9550c227e594ca13415754a945fa8d273  ,,
  毁灭之路.Road.2017.720p.WEB-DL.XviD.AC3-FGT.1.98GB,magnet:?xt=urn:btih:9752d6b37054bc5a67622b32da42883cfcd83cf3  ,,
  The.Doll.2017.720p.WEB-DL.XviD.MP3-FGT.2.4GB,magnet:?xt=urn:btih:95d924d8ac35a8084fbbd38118c4178f8212f178  ,,
  兄弟.The.Bros.2017.1080P.NonDRM_ FHD .mp4.3.89GB,magnet:?xt=urn:btih:57b4c154536279340d166a034cec79ab88d09313  ,,
  啊，荒野.前篇.Wilderness.Part.One.2017.720p.BluRay.x264-WiKi.7.95GB,magnet:?xt=urn:btih:d63b9d3cc9ddddf2c3552bfcb8a8ea4bbf36640f  ,,
  最后的勇士.Poslednij.bogatyr.2017.720p.WEB-DL.Rus.mkv.3.49GB,magnet:?xt=urn:btih:8c38747f14ed0ad6b06b307c8c2914cd6f2a1c80  ,,
  Days.of.Power.2017.720p.WEB-DL.XviD.AC3-FGT.2.88GB,magnet:?xt=urn:btih:220960783a15ffdb053301f06ad5bb2ea3990581  ,,
  Everything.Beautiful.Is.Far.Away.2017.720p.WEB-DL.XviD.AC3-FGT.3.49GB,magnet:?xt=urn:btih:71ed1d738ecf87d0bd58518cb701643ac482aefd  ,,
  玛蒂尔达.Matilda.(2017).WEB-DL.1080p.mkv.3.74GB,magnet:?xt=urn:btih:7137d246e1c8e565d850b5543fb475140370d120  ,,
  去他X的舞会.F.the.Prom.2017.720p.WEB-DL.XviD.AC3-FGT.2.7GB,magnet:?xt=urn:btih:04fc5beff7601ad5969f85200a4c093769a909c9  ,,
  啊，荒野.后篇.Wilderness.Part.Two.2017.720p.BluRay.x264-WiKi.7.19GB,magnet:?xt=urn:btih:f63ed829db57c051e22db7c6de17d78a55d632d6  ,,
  索马里海盗.The.Pirates.of.Somalia.2017.720p.WEB-DL.XviD.AC3-FGT.3.43GB,magnet:?xt=urn:btih:3f713709435bc37f735c80e56cf49d94d1d6bd35  ,,
  我们的国度.Kingdom.of.Us.2017.720p.WEB.x264-STRiFE.2.94GB,magnet:?xt=urn:btih:832171a3f406304a9a8deb01bed197319791dca5  ,,
  公主成人礼.Princess.Cyd.2017.720p.WEB-DL.XviD.AC3-FGT.2.78GB,magnet:?xt=urn:btih:c2409b6bc3cbd3a1f698a47b5eb28f8c3a96138d  ,,
  夫人.Madame.2017.720p.WEB-DL.XviD.MP3-FGT.2.5GB,magnet:?xt=urn:btih:c511b9c3b1ec74953133e50f0f93918034ae7ddb  ,,
